dataset,experiment,model,backbone,probe,availability,config_source,config_id,best_layer,best_layer_label,recoverable_config,val_primary_metric,val_accuracy,excel_workbook,excel_sheet,excel_range,evidence_path,run_git_commit,notes
IntPhys2,main,V-JEPA 2.1,ViT-Gigantic/16,MLP,YES_RECOVERED,recovered_best_configs.json,intphys2__jepa_v2_1__mlp__layer_38,Layer 0.75,Layer 0.75,lr=0.000132929; weight_decay=0.00506158; dropout=0.215973; hidden_dims=[256]; epochs=2000; batch_size=32,45.098,61.765,intphys_primary_db.xlsx,V-JEPA 2.1,AN10:AX10,jobs/train/intphys2/mlp/output/training/intphys2/mlp/intphys2_jepa_v2_1_mlp_layers_22594074.out,999d19ef765342e0bd42ee07e9e2db5bba7c1441,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,main,VideoMAE,ViT-H/16,Attentive,YES_LR_ONLY,current Excel Selected LR,,24,24,layer=24; lr=1e-5,74.510,80.392,intphys_primary_db.xlsx,VideoMAE,N13:X13,,,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file
IntPhys2,main,VideoMAE,ViT-H/16,Linear,YES_RECOVERED,recovered_best_configs.json,intphys2__videomae__linear__layer_16,Layer 0.5,Layer 0.5,lr=0.000132929; weight_decay=0.00506158; epochs=2000; batch_size=32,41.176,60.784,intphys_primary_db.xlsx,VideoMAE,N5:X5,output/training/intphys2/linear/intphys2_videomae_linear_layers_22261454.out,a55c754108a8b6605ec426bb1c010371bd627d81,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,main,VideoMAE,ViT-H/16,MLP,YES_RECOVERED,recovered_best_configs.json,intphys2__videomae__mlp__layer_24,Layer 0.75,Layer 0.75,lr=0.000132929; weight_decay=0.00506158; dropout=0.215973; hidden_dims=[256]; epochs=2000; batch_size=32,39.216,64.216,intphys_primary_db.xlsx,VideoMAE,N10:X10,jobs/train/intphys2/mlp/output/training/intphys2/mlp/intphys2_videomae_mlp_layers_22594091.out,999d19ef765342e0bd42ee07e9e2db5bba7c1441,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,main,VideoMAE-v2,ViT-G/16,Attentive,YES_LR_ONLY,current Excel Selected LR,,20,20,layer=20; lr=1e-5,58.824,74.020,intphys_primary_db.xlsx,VideoMAE-v2,AA12:AK12,,,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file
IntPhys2,main,VideoMAE-v2,ViT-G/16,Linear,YES_RECOVERED,recovered_best_configs.json,intphys2__videomae_v2__linear__layer_20,Layer 0.5,Layer 0.5,lr=0.0093763; weight_decay=3.02674e-05; epochs=2000; batch_size=64,47.059,63.725,intphys_primary_db.xlsx,VideoMAE-v2,AA5:AK5,output/training/intphys2/linear/intphys2_videomae_v2_linear_layers_22261456.out,a55c754108a8b6605ec426bb1c010371bd627d81,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,main,VideoMAE-v2,ViT-G/16,MLP,YES_RECOVERED,recovered_best_configs.json,intphys2__videomae_v2__mlp__layer_20,Layer 0.5,Layer 0.5,lr=0.000132929; weight_decay=0.00506158; dropout=0.215973; hidden_dims=[256]; epochs=2000; batch_size=32,41.176,66.176,intphys_primary_db.xlsx,VideoMAE-v2,AA9:AK9,jobs/train/intphys2/mlp/output/training/intphys2/mlp/intphys2_videomae_v2_mlp_layers_22594085.out,999d19ef765342e0bd42ee07e9e2db5bba7c1441,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
IntPhys2,same_L,V-JEPA,ViT-L/16,Attentive,YES_LR_ONLY,current Excel Selected LR,,18,18,layer=18; lr=1e-5,78.431,84.314,intphys_primary_db.xlsx,V-JEPA,A13:K13,,,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file
IntPhys2,same_L,V-JEPA,ViT-L/16,Linear,NO,missing,,12,12,,43.137,61.275,intphys_primary_db.xlsx,V-JEPA,A4:K4,,,no recovered config for the current best row
IntPhys2,same_L,V-JEPA,ViT-L/16,MLP,NO,missing,,18,18,,50.980,67.157,intphys_primary_db.xlsx,V-JEPA,A9:K9,,,no recovered config for the current best row
IntPhys2,same_L,V-JEPA 2,ViT-L/16,Attentive,YES_LR_ONLY,current Excel Selected LR,,18,18,layer=18; lr=1e-5,68.627,80.882,intphys_primary_db.xlsx,V-JEPA 2,A13:K13,,,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file
IntPhys2,same_L,V-JEPA 2,ViT-L/16,Linear,NO,missing,,18,18,,45.098,66.176,intphys_primary_db.xlsx,V-JEPA 2,A5:K5,,,no recovered config for the current best row
IntPhys2,same_L,V-JEPA 2,ViT-L/16,MLP,NO,missing,,18,18,,45.098,67.647,intphys_primary_db.xlsx,V-JEPA 2,A9:K9,,,no recovered config for the current best row
IntPhys2,same_L,V-JEPA 2.1,ViT-L/16,Attentive,YES_LR_ONLY,current Excel Selected LR,,24,24,layer=24; lr=5e-5,66.667,76.961,intphys_primary_db.xlsx,V-JEPA 2.1,N14:X14,,,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file
IntPhys2,same_L,V-JEPA 2.1,ViT-L/16,Linear,NO,missing,,12,12,,35.294,54.412,intphys_primary_db.xlsx,V-JEPA 2.1,N4:X4,,,no recovered config for the current best row
IntPhys2,same_L,V-JEPA 2.1,ViT-L/16,MLP,NO,missing,,12,12,,47.059,63.725,intphys_primary_db.xlsx,V-JEPA 2.1,N8:X8,,,no recovered config for the current best row
IntPhys2,same_L,VideoMAE,ViT-L/16,Attentive,YES_LR_ONLY,current Excel Selected LR,,24,24,layer=24; lr=5e-5,68.627,78.922,intphys_primary_db.xlsx,VideoMAE,A14:K14,,,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file
IntPhys2,same_L,VideoMAE,ViT-L/16,Linear,NO,missing,,18,18,,35.294,56.863,intphys_primary_db.xlsx,VideoMAE,A5:K5,,,no recovered config for the current best row
IntPhys2,same_L,VideoMAE,ViT-L/16,MLP,NO,missing,,18,18,,39.216,60.294,intphys_primary_db.xlsx,VideoMAE,A9:K9,,,no recovered config for the current best row
IntPhys2,same_L,VideoMAE-v2,ViT-L/16,Attentive,YES_LR_ONLY,current Excel Selected LR,,18,18,layer=18; lr=1e-5,56.863,75.980,intphys_primary_db.xlsx,VideoMAE-v2,N13:X13,,,LR-grid winner is in current Excel | recovered file has no full run hparams/provenance for this row | do not infer 30 vs 90 epochs from recovered file
IntPhys2,same_L,VideoMAE-v2,ViT-L/16,Linear,NO,missing,,18,18,,47.059,61.765,intphys_primary_db.xlsx,VideoMAE-v2,N5:X5,,,no recovered config for the current best row
IntPhys2,same_L,VideoMAE-v2,ViT-L/16,MLP,NO,missing,,18,18,,47.059,62.745,intphys_primary_db.xlsx,VideoMAE-v2,N9:X9,,,no recovered config for the current best row
MVP,backbone_sweep,V-JEPA 2.1,ViT-B/16,Attentive,NO,missing,,12,12,,92.113,95.703,mvp_primary_db.xlsx,V-JEPA 2.1,A14:K14,,,no recovered config and no Selected LR in current Excel
MVP,backbone_sweep,V-JEPA 2.1,ViT-B/16,Linear,NO,missing,,12,12,,44.692,67.644,mvp_primary_db.xlsx,V-JEPA 2.1,A6:K6,,,no recovered config for the current best row
MVP,backbone_sweep,V-JEPA 2.1,ViT-B/16,MLP,NO,missing,,12,12,,72.396,85.187,mvp_primary_db.xlsx,V-JEPA 2.1,A10:K10,,,no recovered config for the current best row
MVP,backbone_sweep,V-JEPA 2.1,ViT-G/16,Attentive,NO,missing,,40,40,,93.327,96.107,mvp_primary_db.xlsx,V-JEPA 2.1,AA14:AK14,,,no recovered config and no Selected LR in current Excel
MVP,backbone_sweep,V-JEPA 2.1,ViT-G/16,Linear,NO,missing,,40,40,,50.961,71.436,mvp_primary_db.xlsx,V-JEPA 2.1,AA6:AK6,,,no recovered config for the current best row
MVP,backbone_sweep,V-JEPA 2.1,ViT-G/16,MLP,NO,missing,,30,30,,71.183,83.367,mvp_primary_db.xlsx,V-JEPA 2.1,AA9:AK9,,,no recovered config for the current best row
MVP,backbone_sweep,VideoMAE-v2,ViT-B/16,Attentive,NO,missing,,9,9,,88.170,93.377,mvp_primary_db.xlsx,VideoMAE-v2,A13:K13,,,no recovered config and no Selected LR in current Excel
MVP,backbone_sweep,VideoMAE-v2,ViT-B/16,Linear,NO,missing,,12,12,,40.142,65.875,mvp_primary_db.xlsx,VideoMAE-v2,A6:K6,,,no recovered config for the current best row
MVP,backbone_sweep,VideoMAE-v2,ViT-B/16,MLP,NO,missing,,12,12,,75.632,86.805,mvp_primary_db.xlsx,VideoMAE-v2,A10:K10,,,no recovered config for the current best row
MVP,ltx,LTX-Video,LTX-13B,Attentive,NO,missing,,noise_0.2_block_24,noise_0.2_block_24,,86.957,93.124,mvp_primary_db.xlsx,LTX-Video,N85:X85,,,no recovered config and no Selected LR in current Excel
MVP,ltx,LTX-Video,LTX-13B,Linear,NO,missing,,18,noise_0.6_block_24,,55.106,74.469,mvp_primary_db.xlsx,LTX-Video,N20:X20,,,no recovered config for the current best row
MVP,ltx,LTX-Video,LTX-13B,MLP,NO,missing,,22,noise_0.5_block_24,,70.981,83.974,mvp_primary_db.xlsx,LTX-Video,N64:X64,,,no recovered config for the current best row
MVP,ltx,LTX-Video,LTX-2B,Attentive,NO,missing,,27,27,,,,mvp_primary_db.xlsx,LTX-Video,A83:K83,,,no recovered config and no Selected LR in current Excel
MVP,ltx,LTX-Video,LTX-2B,Linear,NO,missing,,37,noise_0.1_block_7,,29.828,59.505,mvp_primary_db.xlsx,LTX-Video,A33:K33,,,no recovered config for the current best row
MVP,ltx,LTX-Video,LTX-2B,MLP,NO,missing,,33,noise_0.2_block_7,,41.355,66.684,mvp_primary_db.xlsx,LTX-Video,A51:K51,,,no recovered config for the current best row
MVP,main,V-JEPA,ViT-H/16,Attentive,NO,missing,,Layer 0.75,Layer 0.75,,94.540,96.815,mvp_primary_db.xlsx,V-JEPA,N14:X14,,,no recovered config and no Selected LR in current Excel
MVP,main,V-JEPA,ViT-H/16,Linear,YES_RECOVERED,recovered_best_configs.json,mvp__jepa_v1__linear__layer_32,Final layer,Final layer,lr=0.00801335; weight_decay=1.08638e-08; epochs=100; batch_size=64,49.343,71.689,mvp_primary_db.xlsx,V-JEPA,N3:X3,output/training/mvp/linear/mvp_jepa_v1_linear_layers_22484514.out,6a929503ad6267515d82e8e97dd388d0c33653fd,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,V-JEPA,ViT-H/16,MLP,YES_RECOVERED,recovered_best_configs.json,mvp__jepa_v1__mlp__layer_32,Final layer,Final layer,"lr=0.000650625; weight_decay=5.82706e-07; dropout=0.175017; hidden_dims=[1024, 512, 256]; epochs=2000; batch_size=64",91.102,95.197,mvp_primary_db.xlsx,V-JEPA,N7:X7,jobs/train/mvp/mlp/output/training/mvp/mlp/mvp_jepa_v1_mlp_layers_22594123.out,999d19ef765342e0bd42ee07e9e2db5bba7c1441,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,V-JEPA 2,ViT-G/16,Attentive,NO,missing,,Layer 0.75,Layer 0.75,,94.034,96.411,mvp_primary_db.xlsx,V-JEPA 2,N14:X14,,,no recovered config and no Selected LR in current Excel
MVP,main,V-JEPA 2,ViT-G/16,Linear,YES_RECOVERED,recovered_best_configs.json,mvp__jepa_v2__linear__layer_40,Final layer,Final layer,lr=0.00253859; weight_decay=0.000330633; epochs=100; batch_size=64,48.938,70.425,mvp_primary_db.xlsx,V-JEPA 2,N3:X3,output/training/mvp/linear/mvp_jepa_v2_linear_layers_22392307.out,b334ea159cf8bc7d373321af295dde54023d8b2d,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,V-JEPA 2,ViT-G/16,MLP,YES_RECOVERED,recovered_best_configs.json,mvp__jepa_v2__mlp__layer_40,Final layer,Final layer,"lr=0.000591918; weight_decay=0.000166609; dropout=0.155019; hidden_dims=[1024, 512, 256]; epochs=2000; batch_size=64",87.765,93.124,mvp_primary_db.xlsx,V-JEPA 2,N7:X7,jobs/train/mvp/mlp/output/training/mvp/mlp/mvp_jepa_v2_mlp_layers_22594132.out,999d19ef765342e0bd42ee07e9e2db5bba7c1441,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,V-JEPA 2.1,ViT-Gigantic/16,Attentive,NO,missing,,Final layer,Final layer,,94.944,97.169,mvp_primary_db.xlsx,V-JEPA 2.1,AN11:AX11,,,no recovered config and no Selected LR in current Excel
MVP,main,V-JEPA 2.1,ViT-Gigantic/16,Linear,YES_RECOVERED,recovered_best_configs.json,mvp__jepa_v2_1__linear__layer_48,Final layer,Final layer,lr=0.00500366; weight_decay=2.26317e-06; epochs=100; batch_size=64,44.085,66.684,mvp_primary_db.xlsx,V-JEPA 2.1,AN3:AX3,output/training/mvp/linear/mvp_jepa_v2_1_linear_layers_22392310.out,b334ea159cf8bc7d373321af295dde54023d8b2d,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,V-JEPA 2.1,ViT-Gigantic/16,MLP,YES_RECOVERED,recovered_best_configs.json,mvp__jepa_v2_1__mlp__layer_38,Layer 0.75,Layer 0.75,lr=0.000132929; weight_decay=0.00506158; dropout=0.215973; hidden_dims=[256]; epochs=2000; batch_size=32,74.520,85.389,mvp_primary_db.xlsx,V-JEPA 2.1,AN10:AX10,jobs/train/mvp/mlp/output/training/mvp/mlp/mvp_jepa_v2_1_mlp_layers_22594124.out,999d19ef765342e0bd42ee07e9e2db5bba7c1441,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,VideoMAE,ViT-H/16,Attentive,YES_RECOVERED,recovered_best_configs.json,mvp__videomae__temporal_attn__layer_24,Layer 0.75,Layer 0.75,layer=24; lr=1e-05; epochs=30; patience=5; batch_size=2; weight_decay=0.01; heads=16; blocks=1; mlp_ratio=2.0; dropout=0.2,93.023,96.259,mvp_primary_db.xlsx,VideoMAE,N14:X14,logs/mvp/temporal_attn/videomae_layer24_lr1e-5.log,,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,VideoMAE,ViT-H/16,Linear,YES_RECOVERED,recovered_best_configs.json,mvp__videomae__linear__layer_24,Layer 0.75,Layer 0.75,lr=0.00462327; weight_decay=6.0743e-05; epochs=100; batch_size=32,37.614,64.510,mvp_primary_db.xlsx,VideoMAE,N6:X6,output/training/mvp/linear/mvp_videomae_linear_layers_22392313.out,b334ea159cf8bc7d373321af295dde54023d8b2d,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,VideoMAE,ViT-H/16,MLP,YES_RECOVERED,recovered_best_configs.json,mvp__videomae__mlp__layer_24,Layer 0.75,Layer 0.75,lr=0.000132929; weight_decay=0.00506158; dropout=0.215973; hidden_dims=[256]; epochs=2000; batch_size=32,68.857,82.912,mvp_primary_db.xlsx,VideoMAE,N10:X10,jobs/train/mvp/mlp/output/training/mvp/mlp/mvp_videomae_mlp_layers_22594133.out,999d19ef765342e0bd42ee07e9e2db5bba7c1441,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,VideoMAE-v2,ViT-G/16,Attentive,YES_RECOVERED,recovered_best_configs.json,mvp__videomae_v2__temporal_attn__layer_30,Layer 0.75,Layer 0.75,layer=30; lr=1e-05; epochs=30; patience=5; batch_size=2; weight_decay=0.01; heads=16; blocks=1; mlp_ratio=2.0; dropout=0.2,92.518,95.804,mvp_primary_db.xlsx,VideoMAE-v2,AA14:AK14,logs/mvp/temporal_attn/videomae_v2_layer30_lr1e-5.log,,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,VideoMAE-v2,ViT-G/16,Linear,YES_RECOVERED,recovered_best_configs.json,mvp__videomae_v2__linear__layer_20,Layer 0.5,Layer 0.5,lr=0.00409963; weight_decay=2.97888e-06; epochs=100; batch_size=32,39.535,64.863,mvp_primary_db.xlsx,VideoMAE-v2,AA5:AK5,output/training/mvp/linear/mvp_videomae_v2_linear_layers_22392314.out,b334ea159cf8bc7d373321af295dde54023d8b2d,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,main,VideoMAE-v2,ViT-G/16,MLP,YES_RECOVERED,recovered_best_configs.json,mvp__videomae_v2__mlp__layer_20,Layer 0.5,Layer 0.5,lr=0.000132929; weight_decay=0.00506158; dropout=0.215973; hidden_dims=[256]; epochs=2000; batch_size=32,68.453,82.710,mvp_primary_db.xlsx,VideoMAE-v2,AA9:AK9,jobs/train/mvp/mlp/output/training/mvp/mlp/mvp_videomae_v2_mlp_layers_22594139.out,999d19ef765342e0bd42ee07e9e2db5bba7c1441,all six metrics match current Excel; params pass current search-space sanity | seed 0/1 execution overrides present
MVP,same_L,V-JEPA,ViT-L/16,Attentive,NO,missing,,18,18,,94.439,96.815,mvp_primary_db.xlsx,V-JEPA,A13:K13,,,no recovered config and no Selected LR in current Excel
MVP,same_L,V-JEPA,ViT-L/16,Linear,NO,missing,,18,18,,49.747,70.020,mvp_primary_db.xlsx,V-JEPA,A5:K5,,,no recovered config for the current best row
MVP,same_L,V-JEPA,ViT-L/16,MLP,NO,missing,,18,18,,83.215,91.001,mvp_primary_db.xlsx,V-JEPA,A9:K9,,,no recovered config for the current best row
MVP,same_L,V-JEPA 2,ViT-L/16,Attentive,NO,missing,,24,24,,95.046,97.270,mvp_primary_db.xlsx,V-JEPA 2,A14:K14,,,no recovered config and no Selected LR in current Excel
MVP,same_L,V-JEPA 2,ViT-L/16,Linear,NO,missing,,24,24,,55.410,73.407,mvp_primary_db.xlsx,V-JEPA 2,A6:K6,,,no recovered config for the current best row
MVP,same_L,V-JEPA 2,ViT-L/16,MLP,NO,missing,,24,24,,89.181,94.085,mvp_primary_db.xlsx,V-JEPA 2,A10:K10,,,no recovered config for the current best row
MVP,same_L,V-JEPA 2.1,ViT-L/16,Attentive,NO,missing,,24,24,,93.023,95.905,mvp_primary_db.xlsx,V-JEPA 2.1,N14:X14,,,no recovered config and no Selected LR in current Excel
MVP,same_L,V-JEPA 2.1,ViT-L/16,Linear,NO,missing,,18,18,,47.422,68.655,mvp_primary_db.xlsx,V-JEPA 2.1,N5:X5,,,no recovered config for the current best row
MVP,same_L,V-JEPA 2.1,ViT-L/16,MLP,NO,missing,,24,24,,73.711,84.884,mvp_primary_db.xlsx,V-JEPA 2.1,N10:X10,,,no recovered config for the current best row
MVP,same_L,VideoMAE,ViT-L/16,Attentive,NO,missing,,24,24,,91.810,95.703,mvp_primary_db.xlsx,VideoMAE,A14:K14,,,no recovered config and no Selected LR in current Excel
MVP,same_L,VideoMAE,ViT-L/16,Linear,NO,missing,,24,24,,41.355,65.925,mvp_primary_db.xlsx,VideoMAE,A6:K6,,,no recovered config for the current best row
MVP,same_L,VideoMAE,ViT-L/16,MLP,NO,missing,,24,24,,67.745,82.154,mvp_primary_db.xlsx,VideoMAE,A10:K10,,,no recovered config for the current best row
MVP,same_L,VideoMAE-v2,ViT-L/16,Attentive,NO,missing,,18,18,,88.777,93.579,mvp_primary_db.xlsx,VideoMAE-v2,N13:X13,,,no recovered config and no Selected LR in current Excel
